CODE, NAME, Y, X
301,"' 경복궁역 7번출구 앞'",37.575794,126.971451
302,"' 경복궁역 4번출구 뒤'",37.575947,126.974060
303,"' 광화문역 1번출구 앞'",37.571770,126.974663
304,"' 광화문역 2번출구 앞'",37.572113,126.977577
305,"' 종로구청 옆'",37.572582,126.978355
306,"' 광화문역 7번출구 앞'",37.570808,126.976433
307,"' 서울역사박물관 앞'",37.570000,126.971100
308,"' 광화문 S타워 앞'",37.569969,126.973938
309,"' 광화문역 6번출구 옆'",37.569889,126.976456
314,"' 국립현대미술관'",37.579708,126.980858
315,"' 신한은행 안국역지점 옆'",37.575970,126.983063
316,"' 종각역 1번출구 앞'",37.570396,126.981789
326,"' 안국역 5번출구 앞'",37.576241,126.986160
327,"' 낙원상가 옆'",37.573357,126.987465
328,"' 탑골공원 앞'",37.570396,126.988190
329,"' 청계2가 사거리 옆'",37.568344,126.987892
334,"' 종로3가역 2번출구 뒤'",37.570599,126.991791
335,"' 종로3가역 15번출구 앞'",37.570198,126.991257
337,"' 창경궁 입구'",37.578979,126.996475
338,"' 세운스퀘어 앞'",37.570957,126.997124
339,"' 종로4가 사거리'",37.571068,126.998192
340,"' 혜화동 로터리'",37.585629,127.000679
341,"' 혜화역 3번출구 뒤'",37.581570,127.001785
342,"' 대학로 마로니에공원'",37.579784,127.002533
343,"' 예일빌딩(율곡로) 앞'",37.575432,127.004982
344,"' 성균관대 E하우스 앞'",37.574036,127.006721
345,"' 서울보증보험본사 앞'",37.573307,127.000710
348,"' 독립문역 사거리'",37.572029,126.960785
349,"' 사직동주민센터'",37.576332,126.968590
351,"' 청운초교 앞 삼거리'",37.585079,126.970619
352,"' 중앙고입구 삼거리'",37.583416,126.985237
353,"' 재동초교 앞 삼거리'",37.579388,126.984947
354,"' 포르투갈 대사관 앞'",37.579155,126.988960
355,"' 서울사대부속초교 앞'",37.576508,127.002457
356,"' KT혜화지사 앞'",37.577145,127.002060
358,"' 성대입구 사거리'",37.582500,126.998535
359,"' 원남동사거리'",37.576061,126.997681
361,"' 동묘앞역 1번출구 뒤'",37.573242,127.015907
362,"' 청계8가 사거리'",37.572224,127.022705
363,"' 신설동역 11번출구 뒤'",37.575760,127.022835
364,"' 창신역 1번출구 앞'",37.579334,127.015083
368,"' SK 서린빌딩 앞'",37.569248,126.980537
369,"' 광화문 시민열린마당'",37.575493,126.978500
385,"' 종각역 5번출구'",37.569836,126.982658
386,"' 올림픽기념 국민생활관 앞'",37.590233,126.998520
388,"' 동성중학교 앞'",37.585735,127.001610
393,"' 동대문역 8번 출구'",37.570141,127.009377
394,"' 경희궁 자이 3단지'",37.567490,126.965919
395,"' 경희궁 자이 2단지'",37.568855,126.964561
397,"' 종묘공영주차장 건너편'",37.570480,126.996635
446,"' 상명대입구'",37.600128,126.957832
447,"' 신영동삼거리'",37.603992,126.961945
449,"' 일성아파트'",37.608719,126.972862
450,"' 효자동 삼거리'",37.583603,126.972549
451,"' 청와대앞길'",37.583515,126.979668
452,"' 동대문 종합시장 버스정류장'",37.571239,127.004410
453,"' 종로오가 지하쇼핑센터 14번출구'",37.571140,127.000671
454,"' 종로2가 버스정류장 (종각방향)'",37.570358,126.986382
455,"' 삼익한의원'",37.570961,127.006058
